timestamp,Infrared to Red Signal Ratio
04/03/25 12:51:32,0
04/03/25 12:52:32,0
04/03/25 12:53:32,0
04/03/25 12:54:32,0
04/03/25 12:55:32,0
04/03/25 12:56:32,0
04/03/25 12:57:32,0
04/03/25 12:58:32,0
04/03/25 12:59:32,0
04/03/25 13:00:32,0
04/03/25 13:01:32,0
04/03/25 13:02:32,0
04/03/25 13:03:32,0
04/03/25 13:04:32,0
04/03/25 13:05:32,0
04/03/25 13:06:32,0
04/03/25 13:07:32,0
04/03/25 13:08:32,0
04/03/25 13:09:32,0
04/03/25 13:10:32,0
04/03/25 13:11:32,0
04/03/25 13:12:32,0
04/03/25 13:13:32,0
04/03/25 13:14:32,0
04/03/25 13:15:32,0
04/03/25 13:16:32,0
04/03/25 13:17:32,0
04/03/25 13:18:32,0
04/03/25 13:19:32,0
04/03/25 13:20:32,0
04/03/25 13:21:32,0
04/03/25 13:22:32,0
04/03/25 13:23:32,0
04/03/25 13:24:32,0
04/03/25 13:25:32,0
04/03/25 13:26:32,0
04/03/25 13:27:32,0
04/03/25 13:28:32,0
04/03/25 13:29:32,0
04/03/25 13:30:32,0
04/03/25 13:31:32,0
04/03/25 13:32:32,0
04/03/25 13:33:32,0
04/03/25 13:34:32,0
04/03/25 13:35:32,0
04/03/25 13:36:32,0
04/03/25 13:37:32,0
04/03/25 13:38:32,0
04/03/25 13:39:32,0
04/03/25 13:40:32,0
04/03/25 13:41:32,0
04/03/25 13:42:32,0
04/03/25 13:43:32,0
04/03/25 13:44:32,0
04/03/25 13:45:32,0
04/03/25 13:46:32,0
04/03/25 13:47:32,0
04/03/25 13:48:32,0
04/03/25 13:49:32,0
04/03/25 13:50:32,0
04/03/25 13:51:32,0
04/03/25 13:52:32,0
04/03/25 13:53:32,0
04/03/25 13:54:32,0
04/03/25 13:55:32,0
04/03/25 13:56:32,0
04/03/25 13:57:32,0
04/03/25 13:58:32,0
04/03/25 13:59:32,0
04/03/25 14:00:32,0
04/03/25 14:01:32,0
04/03/25 14:02:32,0
04/03/25 14:03:32,0
04/03/25 14:04:32,0
04/03/25 14:05:32,0
04/03/25 14:06:32,0
04/03/25 14:07:32,0
04/03/25 14:08:32,0
04/03/25 14:09:32,0
04/03/25 14:10:32,0
04/03/25 14:11:32,0
04/03/25 14:12:32,0
04/03/25 14:13:32,0
04/03/25 14:14:32,0
04/03/25 14:15:32,0
04/03/25 14:16:32,0
04/03/25 14:17:32,0
04/03/25 14:18:32,0
04/03/25 14:19:32,0
04/03/25 14:20:32,0
04/03/25 14:21:32,0
04/03/25 14:22:32,0
04/03/25 14:23:32,0
04/03/25 14:24:32,0
04/03/25 14:25:32,0
04/03/25 14:26:32,0
04/03/25 14:27:32,0
04/03/25 14:28:32,0
04/03/25 14:29:32,0
04/03/25 14:30:32,0
04/03/25 14:31:32,0
04/03/25 14:32:32,0
04/03/25 14:33:32,0
04/03/25 14:34:32,0
04/03/25 14:35:32,0
04/03/25 14:36:32,0
04/03/25 14:37:32,0
04/03/25 14:38:32,0
04/03/25 14:39:32,0
